GNIS ID,Municipality Name,Municipality Type,2010 Muni Population,2010 Muni Housing Units,Muni Area (sq mi),County,REDC Region,# Cable Providers,# Hse Units Cable,% Hse Units Cable,# of DSL Providers,# Hse Units DSL,% Hse Units DSL,# Fiber Providers,# Hse Units Fiber,% Hse Units Fiber,# Wireline Providers,# Hse Units Wireline,% Hse Units Wireline,# Wireless Providers,# Hse Units Wireless,% Hse Units Wireless,# Satellite Providers
978732,Big Flats,Town,7731,3267,45.3,Chemung,Southern Tier Region,1,3000,92,1,2600,80,2,0,0,4,3100,95,4,3100,95,4
978733,Binghamton,City,47376,23842,11.1,Broome,Southern Tier Region,1,23100,97,1,22900,96,4,0,0,6,23100,97,5,23100,97,4
978734,Binghamton,Town,4942,1985,25.2,Broome,Southern Tier Region,1,1800,91,2,1800,91,3,0,0,6,1900,96,5,1900,96,4
978735,Birdsall,Town,221,335,36.1,Allegany,Western NY Region,0,0,0,1,0,0,0,0,0,1,0,0,4,310,93,4
978736,Black Brook,Town,1497,974,134.1,Clinton,North Country Region,1,500,51,2,680,70,0,0,0,3,710,73,4,800,82,4
944178,Black River,Village,1348,596,1.9,Jefferson,North Country Region,1,570,96,1,550,92,0,0,0,2,570,96,4,570,96,4
944230,Blasdell,Village,2553,1253,1,Erie,Western NY Region,1,1200,96,1,1100,88,3,1200,96,4,1200,96,6,1200,96,4
978737,Bleecker,Town,533,487,59.4,Fulton,Mohawk Valley Region,1,270,55,1,290,60,0,0,0,2,430,88,3,380,78,4
978738,Blenheim,Town,377,361,34.2,Schoharie,Mohawk Valley Region,0,0,0,2,260,72,0,0,0,2,260,72,4,330,91,4
979686,Bloomfield,Village,1361,589,1.4,Ontario,Finger Lakes Region,1,570,97,1,570,97,2,0,0,4,570,97,5,570,97,4
975768,Bloomingburg,Village,420,221,0.3,Sullivan,Mid-Hudson Region,1,210,95,1,210,95,0,0,0,2,210,95,4,210,95,4
978739,Blooming Grove,Town,18028,6954,35.7,Orange,Mid-Hudson Region,2,6700,96,1,6700,96,2,0,0,5,6700,96,4,6700,96,4
978740,Bolivar,Town,2189,1078,35.9,Allegany,Western NY Region,1,910,84,1,810,75,0,0,0,2,940,87,2,1000,93,4
944401,Bolivar,Village,1047,483,0.7,Allegany,Western NY Region,1,460,95,1,460,95,0,0,0,2,460,95,2,460,95,4
978741,Bolton,Town,2326,2580,86.1,Warren,Capital Region,1,2400,93,1,2100,81,0,0,0,2,2400,93,4,2400,93,4
978742,Bombay,Town,1357,572,56.8,Franklin,North Country Region,1,380,66,0,0,0,0,0,0,1,380,66,3,550,96,4
978743,Boonville,Town,4555,2289,72.4,Oneida,Mohawk Valley Region,1,1700,74,1,2100,92,1,0,0,3,2200,96,4,2200,96,4
944443,Boonville,Village,2072,990,1.7,Oneida,Mohawk Valley Region,1,960,97,1,960,97,1,0,0,3,960,97,3,960,97,4
978744,Boston,Town,8023,3388,35.8,Erie,Western NY Region,1,3200,94,1,2500,74,2,1500,44,3,3200,94,6,3200,94,4
978745,Bovina,Town,633,570,44.9,Delaware,Southern Tier Region,0,0,0,2,530,93,1,220,39,2,530,93,4,540,95,4
978746,Boylston,Town,549,296,39.2,Oswego,Central NY Region,1,0,0,1,220,74,0,0,0,2,220,74,4,280,95,4
978747,Bradford,Town,855,390,24.8,Steuben,Southern Tier Region,2,150,38,1,0,0,0,0,0,3,160,41,3,370,95,4
978748,Brandon,Town,577,311,41.3,Franklin,North Country Region,1,20,6,1,190,61,1,190,61,3,230,74,2,300,96,4
978749,Brant,Town,2065,952,35,Erie,Western NY Region,1,860,90,1,630,66,0,0,0,2,860,90,6,920,97,4
978750,Brasher,Town,2512,1129,92,St. Lawrence,North Country Region,1,750,66,2,690,61,1,50,4,4,970,86,3,1000,89,4
944699,Brewster,Village,2390,961,0.4,Putnam,Mid-Hudson Region,1,930,97,1,910,95,2,560,58,3,930,97,4,930,97,4
969912,Briarcliff Manor,Village,7867,2753,6,Westchester,Mid-Hudson Region,1,2600,94,2,2600,94,4,2300,84,6,2600,94,4,2600,94,4
978751,Bridgewater,Town,1522,635,23.8,Oneida,Mohawk Valley Region,1,540,85,2,270,43,0,0,0,3,600,94,3,610,96,4
944731,Bridgewater,Village,470,203,0.6,Oneida,Mohawk Valley Region,1,190,94,2,0,0,0,0,0,3,190,94,2,190,94,4
978752,Brighton,Town,1435,801,82.9,Franklin,North Country Region,1,620,77,2,140,17,0,0,0,3,630,79,3,740,92,4
978753,Brighton,Town,36609,17087,15.6,Monroe,Finger Lakes Region,1,16500,97,1,16300,95,4,0,0,6,16500,97,5,16500,97,4
975774,Brightwaters,Village,3103,1156,1,Suffolk,Long Island Region,1,1100,95,2,1100,95,2,1100,95,4,1100,95,5,1100,95,4
978754,Bristol,Town,2315,1058,36.7,Ontario,Finger Lakes Region,1,790,75,1,950,90,1,0,0,3,1000,95,5,1000,95,4
978755,Broadalbin,Town,5260,2736,39.8,Fulton,Mohawk Valley Region,1,2600,95,2,2500,91,0,0,0,3,2600,95,3,2600,95,4
944788,Broadalbin,Village,1327,600,1.1,Fulton,Mohawk Valley Region,1,580,97,1,580,97,0,0,0,2,580,97,3,580,97,4
944801,Brockport,Village,8366,2679,2.2,Monroe,Finger Lakes Region,1,2500,93,1,2500,93,1,0,0,3,2500,93,5,2500,93,4
944808,Brocton,Village,1486,656,1.7,Chautauqua,Western NY Region,1,630,96,1,620,95,0,0,0,2,630,96,3,630,96,4
974101,Bronx,County,1385108,511896,57.5,Bronx,New York City,3,496000,97,2,496000,97,4,322000,63,8,496000,97,6,496000,97,4
978756,Bronx borough,Borough,1385108,511896,57.5,Bronx,New York City,3,496000,97,2,496000,97,4,322000,63,8,496000,97,6,496000,97,4
944824,Bronxville,Village,6323,2430,1,Westchester,Mid-Hudson Region,2,2300,95,2,2300,95,3,2200,91,6,2300,95,4,2300,95,4
978757,Brookfield,Town,2545,1160,77.9,Madison,Central NY Region,1,550,47,1,1000,86,0,0,0,2,1100,95,3,1100,95,4
978758,Brookhaven,Town,486040,175026,510.4,Suffolk,Long Island Region,1,167000,95,2,162000,93,4,32900,19,6,169000,97,6,169000,97,4
978759,Brooklyn borough,Borough,2504700,1000293,97.1,Kings,New York City,3,970000,97,2,970000,97,6,505000,50,10,970000,97,7,969000,97,4
944887,Brookville,Village,3465,663,4,Nassau,Long Island Region,1,640,97,2,640,97,3,180,27,5,640,97,4,640,97,4
974102,Broome,County,200600,90563,715.2,Broome,Southern Tier Region,3,85100,94,3,85100,94,4,0,0,10,87500,97,5,87800,97,4
978760,Broome,Town,973,821,48.1,Schoharie,Mohawk Valley Region,1,0,0,1,630,77,0,0,0,2,630,77,4,680,83,4
978761,Brownville,Town,6263,3084,72.9,Jefferson,North Country Region,1,2700,88,2,2700,88,0,0,0,3,2900,94,4,2900,94,4
944965,Brownville,Village,1119,462,0.6,Jefferson,North Country Region,1,440,95,1,440,95,0,0,0,2,440,95,4,440,95,4
978762,Brunswick,Town,11941,5279,44.5,Rensselaer,Capital Region,1,5100,97,1,4800,91,0,0,0,2,5100,97,6,5100,97,4
944982,Brushton,Village,474,241,0.3,Franklin,North Country Region,1,230,95,0,0,0,0,0,0,1,230,95,2,230,95,4
978763,Brutus,Town,4464,1916,22.4,Cayuga,Central NY Region,1,1800,94,2,1700,89,1,0,0,4,1800,94,5,1800,94,4
945006,Buchanan,Village,2230,863,1.5,Westchester,Mid-Hudson Region,1,830,96,2,830,96,3,830,96,5,830,96,4,830,96,4
978764,Buffalo,City,261310,133444,51.6,Erie,Western NY Region,1,129000,97,1,128000,96,6,20200,15,7,129000,97,6,129000,97,4
973990,Burdett,Village,340,166,0.9,Schuyler,Southern Tier Region,1,160,96,1,160,96,2,160,96,3,160,96,3,160,96,4
978765,Burke,Town,1465,614,44.4,Franklin,North Country Region,1,350,57,1,360,59,0,0,0,2,450,73,3,590,96,4
969931,Burke,Village,211,94,0.3,Franklin,North Country Region,1,90,96,1,80,85,0,0,0,2,90,96,3,90,96,4
978766,Burlington,Town,1140,553,44.9,Otsego,Mohawk Valley Region,1,430,78,1,250,45,0,0,0,2,480,87,4,530,96,4
978767,Burns,Town,1180,583,27.2,Allegany,Western NY Region,1,400,69,1,0,0,0,0,0,2,400,69,4,560,96,4
978768,Busti,Town,7351,3931,51,Chautauqua,Western NY Region,1,3500,89,1,3700,94,2,0,0,4,3800,97,3,3800,97,4
978769,Butler,Town,2064,785,37.2,Wayne,Finger Lakes Region,1,550,70,2,610,78,0,0,0,3,690,88,4,760,97,4
978770,Butternuts,Town,1786,1012,54.4,Otsego,Mohawk Valley Region,1,580,57,2,920,91,0,0,0,3,960,95,5,930,92,4
978771,Byron,Town,2369,966,32.3,Genesee,Finger Lakes Region,1,930,96,0,0,0,0,0,0,1,930,96,5,930,96,4
978772,Cairo,Town,6670,3654,60.1,Greene,Capital Region,1,3500,96,1,3000,82,1,0,0,2,3500,96,6,3500,96,4
978773,Caledonia,Town,4255,1802,44.2,Livingston,Finger Lakes Region,1,1600,89,1,1600,89,1,0,0,3,1700,94,5,1700,94,4
945451,Caledonia,Village,2201,971,2.1,Livingston,Finger Lakes Region,1,940,97,1,940,97,1,0,0,3,940,97,5,940,97,4
978774,Callicoon,Town,3057,2003,48.9,Sullivan,Mid-Hudson Region,1,1900,95,1,20,1,0,0,0,2,1900,95,3,1900,95,4
